Ambiente,Participante,Tarefa,Duracao_Tarefa,Acertou_tarefa
C,usuario11,2,31988,TRUE
C,usuario11,3,104793,FALSE
C,usuario11,4,83494,TRUE
C,usuario11,5,166605,TRUE
C,usuario11,6,177923,TRUE
C,usuario11,7,41773,TRUE
C,usuario11,8,33637,TRUE
C,usuario11,9,39446,TRUE
C,usuario11,10,71105,TRUE
C,usuario11,11,36121,TRUE
C,usuario11,12,155899,FALSE
C,usuario11,13,37346,TRUE
C,usuario12,1,34277,TRUE
C,usuario12,2,23520,TRUE
C,usuario12,3,155947,TRUE
C,usuario12,4,44586,TRUE
C,usuario12,5,79309,TRUE
C,usuario12,6,104389,TRUE
C,usuario12,7,27405,TRUE
C,usuario12,8,49302,TRUE
C,usuario12,9,85131,FALSE
C,usuario12,10,36488,TRUE
C,usuario12,11,43715,TRUE
C,usuario12,12,87585,FALSE
C,usuario12,13,44627,TRUE
